Accession Length
NC_039208 25000
NC_048211 25984
NC_035191 25995
NC_016991 26041
NC_016994 26077
NC_016992 26083
NC_016996 26223
NC_016995 26227
NC_011549 26396
NC_011547 26487
NC_011550 26552
NC_016993 26689
NC_028824 26975
NC_046955 27102
NC_009988 27165
NC_002645 27317
NC_028752 27395
NC_048213 27464
NC_005831 27553
NC_028814 27608
NC_001451 27608
NC_010800 27657
NC_034972 27682
NC_048214 27754
NC_028833 27783
NC_028811 27935
NC_003436 28033
NC_022103 28035
NC_028806 28111
NC_046964 28128
NC_009657 28203
NC_010437 28326
NC_032107 28363
NC_030292 28434
NC_018871 28494
NC_046965 28539
NC_038861 28586
NC_048216 28679
NC_032730 28763
NC_010438 28773
NC_023760 28941
NC_048212 28975
NC_009021 29114
NC_014470 29276
NC_002306 29355
NC_034440 29642
NC_004718 29751
NC_006577 29926
NC_038294 30111
NC_019843 30119
NC_039207 30148
NC_030886 30161
NC_009019 30286
NC_009020 30482
NC_006213 30741
NC_003045 31028
NC_017083 31100
NC_026011 31249
NC_012936 31250
NC_048217 31335
NC_001846 31337
NC_046954 31393
NC_025217 31491
NC_010646 32000
