Accession Length
NC_003996 10053
NC_033694 10095
NC_003676 10116
NC_026620 10125
NC_034007 10131
NC_003675 10140
NC_030401 10158
NC_033693 10173
NC_033697 10173
NC_033699 10173
NC_043110 10182
NC_033698 10182
NC_030289 10206
NC_033724 10215
NC_026624 10242
NC_033723 10251
NC_039219 10254
NC_033721 10266
NC_033726 10269
NC_040682 10280
NC_026623 10284
NC_029055 10290
NC_034018 10293
NC_040788 10311
NC_034242 10370
NC_039218 10376
NC_008718 10510
NC_003635 10600
NC_002640 10649
NC_023424 10673
NC_023439 10688
NC_004119 10690
NC_001475 10707
NC_012533 10723
NC_001474 10723
NC_017086 10733
NC_001477 10735
NC_033715 10755
NC_009028 10755
NC_027999 10761
NC_005062 10787
NC_016997 10791
NC_008719 10793
NC_040776 10794
NC_040610 10804
NC_035889 10808
NC_012735 10814
NC_009026 10815
NC_008604 10837
NC_003687 10839
NC_005039 10857
NC_002031 10862
NC_032088 10864
NC_021069 10865
NC_012671 10865
NC_027709 10870
NC_001809 10871
NC_009029 10874
NC_027817 10893
NC_034151 10937
NC_027819 10938
NC_007580 10940
NC_012534 10941
NC_018705 10943
NC_003690 10943
NC_001563 10962
NC_001437 10976
NC_015843 10990
NC_000943 11014
NC_009942 11029
NC_012932 11064
NC_006551 11066
NC_001672 11141
NC_005064 11375
chico 9000
